"","GS01_1","GS01_2","GS01_3","GS01_4","GS01_5","GS01_6","GS03_1","GS03_2","GS03_3","GS03_4","GS03_5","GS03_6","GS07_1","GS07_2","GS07_3","GS07_4","GS07_5","GS07_6","GS14_1","GS14_2","GS14_3","GS14_4","GS14_5","GS14_6","GS21_1","GS21_2","GS21_3","GS21_4","GS21_5","GS21_6","GS28_1","GS28_2","GS28_3","GS28_4","GS28_5","GS28_6","GS35_1","GS35_2","GS35_3","GS35_4","GS35_5","GS35_6"
"Sporosarcina",17581,91221,27788,14516,19605,12978,11028,45079,10533,8968,47231,14142,545490,177283,62569,46127,54010,30930,296895,23145971,43068000,6898677,3190910,15612566,291658235,136599261,790920025,123637475,1212976060,153259016,64557593,1129308690,148280905,816606438,50620014,98380444,172434376,17641750,61802049,42190356,42480895,4432101
"Pseudomonas",140900,145402,70430,108558,515152,109329,498421,125055,179691,127569,731050,179041,14581617,16381430,3804194,4661337,10352461,1188257,131593147,552555777,150134717,19369140,298066013,355631325,73792503,77066,386422504,176841546,2612158,17386545,4988081,28824780,129689,1368073,18107612,3879962,1321320,299307,3746579,1703832,1150084,21236
"Psychrobacter",0,489434,0,5234,0,3871,15225,79923,0,151278,273303,33542,3533721,36241,213075,6438503,716233,116739,83768,350793,9260521,456211,125506014,195287006,15540988,18844,79121882,27139405,175968576,46388520,2915048426,41224700,64111035,135363,385771,3951613,1581393,136392384,3576449,3671087,4436361,988531
"Proteus",11379,369527,22127,40199,24113,32062,12517,17740,18558,9855,11833,14640,24611,31077,13658,19586,44813,15931,27255,471829,155149,95946,705682,5693448,176726497,33765,5987070,36157914,39347330,21686502,116560945,443825114,24234426,113786581,62914178,57560204,16039502,23399785,2921000,4834826,5330643,7886255
"Paenalcaligenes",0,212543,11062,10027,0,0,0,0,0,1013,0,0,11380,0,0,28862,250505,0,39366,0,1161253,0,2749578,3184872,0,0,8568952,560339,77549409,9909624,2060869531,519881846,357203417,0,832295,330836022,103327,204194494,2624246,6898794,17161734,16214113
"Stenotrophomonas",423196,49396,0,12169,168757,27276,749229,61046,78059,25754,229780,68736,4369656,63081689,872988,1009638,7794507,564790,16413982,137415187,212616315,229787,21887191,127199221,39063345,71434,174536719,72815194,32845278,75107560,7754995,9163186,97720,256580,3671220,6300715,811444,68692,4286759,2131093,7949779,51075
"Achromobacter",15808,236324,0,0,9855,8037,6414,0,0,6461,15945,22591,571895,3380,67905,115566,240979,0,0,217805581,104161203,88031,9898211,4459255,39444531,2608494,65043537,10467015,129233363,59317902,8697656,25553999,135610,4382169,35482151,435948008,4608006,31708117,7441934,1414553,20650983,764730
"Pyrinomonadaceae_genus",16787659,12851614,21693451,21998470,22631829,15020162,18689117,23707261,18213287,14994961,18234257,17196169,21141813,27487091,12053744,14252935,33349075,18734972,13141216,17878838,20158584,21141754,11742772,10734102,2820215,611165,24477920,16278048,10143988,8422142,10330854,11422336,654742,1529423,1772995,858813,2218454,1967508,6191913,332610,194887,115862
"Vicinamibacteraceae_genus",19656924,19823995,33669306,28981760,24186932,22144210,22328109,24995612,22318668,20738365,24889288,25638912,18123872,27899340,17152845,17978178,34298287,19609386,14940962,8290721,17753722,19133912,6442369,7921530,1041613,422367,26333031,14784056,0,9546850,3074195,0,282357,1733804,1262994,1028783,479589,1469390,5741327,112517,293920,33708
"Psychrobacillus",127926,200794,132122,54523,176986,32835,802044,629269,228108,746897,677216,346587,2034329,2636319,836552,329773,1301900,515753,4648346,17586146,17815760,1875140,17589629,20576025,7930618,9730802,68130582,7486438,11167540,6653674,1833362,18259562,0,599394,548687,962194,143308,149626,956038,25992,51947,0
"Jeotgalicoccus",79315,219554,0,41795,371648,9815,60308,1336062,56135,84819,473862,93604,474589,67915,108568,255805,1312211,534457,429642,5698752,4989610,1913862,4042520,19528212,8719969,12184578,20084321,27364774,109099358,32326018,31131090,106085352,7200537,5554720,3009729,49533496,24919623,18092138,5517969,3058952,5813093,1317278
"Corynebacterium",34902,19260,6614,6884,51669,3401,18847,1711569,99415,114765,195406,51901,266411,125876,45521,186620,2301464,623936,156645,7873991,7902700,97133,4116625,10091298,14623449,889458,36387649,13465523,49744865,24537217,183575859,141366139,36431522,592002,4626226,76011088,16254012,17247449,1488833,4740626,28900492,601840
"Vicinamibacterales_genus",11475415,13560632,21823210,16338845,12861787,11885546,13608883,18008414,10252361,11945655,13760429,12488657,8622013,14507147,7800196,10045481,16485788,10962310,8000384,5034184,13176166,11069749,1773204,3471332,1855253,345994,20307468,6669783,5040259,5271990,2468868,4795243,383556,590184,651589,1514157,782262,1514287,3612093,226713,513376,127854
"WD2101_soil_group_genus",9228407,9025679,15508187,14147818,10937272,12307921,11388647,10834593,18963249,9231731,9680030,14081841,5941417,11744299,11363686,9573741,10379909,15732111,10267598,4876738,10004827,8572215,7698062,6674217,2323960,538084,23906810,12004504,3110126,7409379,6203616,10059277,341407,922996,1817852,1524710,792668,1071432,4177879,196484,159468,22292
"Mammaliicoccus",8684,10827,0,16241,70981,0,76219,417452,82363,158216,165198,60696,521189,1554647,261828,366367,1641813,743327,1501235,14901236,14333807,6266792,4318245,8312933,17154179,12133122,64125095,29891198,48289491,26512627,48657222,71694399,410051,1786108,567340,18545369,3185792,6207243,2685734,950116,1346863,256769
"Gemmatimonadaceae_genus",4864339,4933732,6633008,6147029,5266061,5106818,4533526,6575103,3935984,4910449,5508774,3859335,4689025,7176168,3636974,4282416,6808682,4625879,2283783,4261472,6406135,5009565,1515196,1412264,468739,277454,11489254,2185341,3461823,2533441,1351499,3907762,66981,940639,409747,1456020,317887,357237,1660804,24538,218652,29077
"Microvirga",1467429,1723697,2562148,2885906,1813881,2379895,2101173,1801673,3920917,1788182,1805880,2743652,1867645,2880447,2252461,1660931,2493175,3071843,1719535,1357340,2388136,1914357,679893,765584,293110,188122,5213324,1908224,583078,2614780,6804367,3897193,154145,169892,315740,1956070,332755,644803,491337,119965,455725,15815
"Rhodococcus",75730,78431,58804,90579,107030,82917,120617,27671,92060,78247,73307,76171,584594,2109659,303174,275340,1129372,331644,275687,11359538,1914970,455262,2216980,5966437,6928113,977346,41739164,6204750,4247443,20779728,13767022,90172153,714358,2370821,9778919,60803371,4070715,12031492,12040658,1886713,6069051,1359808
"Morganella",0,123761,11470,20597,10586,13261,5971,0,0,4632,0,0,0,0,0,0,0,11314,0,165585,0,0,2537181,111734,49781,16366,0,62288,147267055,27245275,45925153,49442718,4513562,103330,1616683,13031249,84770,23016794,143935,1515978,1634451,1740797
"Escherichia-Shigella",246059,7243,114231,1694723,11974392,333288,4910,198710,69988,159998,527346,41474,49199,781876,370064,9049,94061,28246,102811,2050149,1221319,37610,4600405,0,416371,39618,13747841,3463899,301665,1034908,0,329540,0,176613,0,270940,16251,33043,0,42403,22749,5264
"Sphingobacterium",4418,114710,0,1525,107531,19721,216927,18663,0,8940,52739,0,1056020,349191,2042,1758798,2112336,1097060,7236,99557051,5746937,0,342448,383843,1625497,0,5857469,33476,1425332,453562,4612279,96853606,0,180272,817762,102477,674015,250225,2809118,9543001,6939456,5283
"Chryseobacterium",6294,6782,19995,18364,22559,43625,489790,18079,148258,150005,333585,90296,2612084,1167840,514717,828576,33678278,407650,519523,928261,17205035,19308,41473,2244459,9220,0,9952149,0,0,0,0,0,0,0,0,0,0,0,6323,0,6396,0
